,Molecule,Score,admet_smiles
115,EOS59394,-7.959,CCN1CCCC1C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2C
116,EOS59043,-7.935,COCCNC(=O)c1cccc(NC(=O)C2CC23CCNCC3)c1C
117,EOS59396,-7.603,COCCN1CCC(CN(C)C(=O)c2cccc3c2CCC3=O)C1
118,EOS59046,-7.926,COc1ccccc1OCCCN(C)C(=O)C1CCc2nn(C)c(=O)n2C1
119,EOS58693,-7.364,COCCN1CC(CNC(=O)CCN2Cc3ccccc3C2=O)CC1=O
120,EOS59398,-7.345,CC(=O)NCCNC(=O)NCc1ccc2c(c1)CC(C)O2
121,EOS59050,-9.454,CN1CC2(CCN(C(=O)c3cc4ccccc4n(C)c3=O)C2)OCC1=O
122,EOS59051,-10.233,CO[C@H]1CN(C2CSCCSC2)C[C@@H]1O
123,EOS59052,-8.026,Cc1cc(=O)c(C(=O)N(C)CC2(c3ccccc3)CC2(C)C)cn1C
124,EOS59407,-8.415,COc1ccc2cc(C(C)NC(=O)C3(O)CCN(C)CC3)ccc2c1
125,EOS59411,-6.969,CSCCC(NC(C)=O)C(=O)NCc1nc2ccccc2o1
126,EOS58697,-7.516,Cc1ccc(C(=O)NCCN2CCCOC2=O)c(=O)n1C
127,EOS58698,-6.58,CCO[C@H]1COC[C@@H]1NC(=O)CNC(=O)N(C)C
128,EOS59416,-7.85,CN(C)C(=O)NCC(=O)NCc1nn(C)c2cccc(Cl)c12
129,EOS59062,-8.9,Cc1ccc2oc(=O)n(CC(=O)NC3COC4(CCCCC4)C3)c2c1
130,EOS59419,-7.202,Cc1cccc(NC(=O)CN(C)CC2CCCCO2)c1
131,EOS59068,-7.461,O=C(NCc1ccco1)N1CCCC(OCc2cccnc2)C1
132,EOS59422,-8.445,Cc1cccc(CC2(NC(=O)C3CNCC(C(=O)N4CCOCC4)C3)CC2)c1
133,EOS58701,-9.904,CN(C)CC1COCCN(C(=O)c2cncc(Cl)c2)C1
134,EOS59425,-8.966,Cn1c(=O)n(C)c2cc(NC(=O)N3CCN(C(=O)c4ccco4)CC3)ccc21
135,EOS58703,-8.193,O=C1CC(C(=O)NC2CCN(C3CCSCC3)CC2)C2(CCCC2)O1
136,EOS59076,-7.318,Cc1ccc(C(C(=O)N2CCN(C(=O)c3ccco3)CC2)N(C)C)cc1
137,EOS59077,-5.829,CCSCCC(=O)NCc1cc(C(C)(C)C)[nH]n1
138,EOS59081,-8.557,COc1cccc(C2CCN(C(=O)c3cc(=O)cc(C)o3)C2)c1OC
139,EOS59437,-6.893,CO[C@H]1CN(C(C)C)C[C@@H]1NC(=O)c1ccc(Cl)cc1C
140,EOS59439,-11.021,Cc1cc(CNC(=O)N2CCCOC(CN3CCCCC3)C2)cnc1C
141,EOS59440,-9.09,O=C(C1CCC1)N1CCN(C(O)c2cc3ccccc3c(=O)[nH]2)CC1
142,EOS59445,-7.757,COc1ccc(CN(CCC2=CCCCC2)C(=O)c2cccn(C)c2=O)cc1
143,EOS58709,-8.383,CC(=O)C(N)C(O)N1CCC2(CC1)CN(CCc1ccccc1)C(=O)O2
144,EOS59449,-7.061,CCOCCn1c(=O)[nH]c2cc(C(=O)NCC(=O)NC(C)C)ccc21
145,EOS59095,-7.763,O=C(CCC(=O)N1CCCC(CNC(=O)C2CCC2)C1)Nc1cccc(O)c1
146,EOS59097,-7.104,COc1ccc(-c2cccc(C(C)O)n2)cc1F
147,EOS58711,-7.697,Cn1cnnc1CSc1nnc(C2CCCNC2)n1C
148,EOS58713,-8.174,Cc1cccc(C(=O)N[C@@H]2CCN(Cc3csc(C)n3)C[C@H]2O)n1
149,EOS59459,-7.275,Cc1cc(=O)cc(C(O)NCc2cc(O)n(C(C)(C)C)c2)o1
150,EOS59109,-6.828,COCCN(C)CC(=O)NCc1ccc2cc[nH]c2c1
151,EOS59110,-7.115,CCCCN(Cc1cccc(OC)c1)C(=O)c1cnn(CC)c1C
152,EOS59111,-11.6,COc1ccc(C2(C(=O)N3CCCNC(=O)C3)CC2(C)C)cc1
153,EOS59468,-7.307,CCC(C(=O)NCc1ccc(N2CCCC2=O)cc1)N(C)CC
154,EOS59473,-8.136,O=C(CCCC(=O)c1ccccc1)N[C@H]1[C@@H]2CCO[C@@H]2[C@@H]1C1CCCC1
155,EOS59121,-7.054,CC(C)n1cc(CNC(=O)CNC(=O)N(C)C)cn1
156,EOS59122,-8.47,CC(O)c1cccc(-c2ccc(C(=O)NCC3(C)COC3)cc2)c1
157,EOS58721,-7.039,COc1cc(C(=O)N[C@H]2CN(C(C)C)C[C@@H]2OC)ccn1
158,EOS59125,-7.851,CCO[C@H]1CN(C)C[C@@H]1NC(=O)Nc1cccc(-n2c(O)cn(C)c2=O)c1
159,EOS59483,-6.686,CCN(Cc1ccc(OC(C)C)c(CO)c1)Cc1nccn1C
160,EOS59129,-7.364,Cc1ccn2cc(C(=O)N(C)CC3CCOC3)nc2c1
161,EOS59487,-6.92,Cn1nc(C(O)N2CCCCC2CCc2cccs2)ccc1=O
162,EOS59488,-9.137,CNC(=O)c1[nH]nc2c1CN(C(=O)NCc1nc(C)c3c(n1)CCCC3)CC2
