Molecule,Score
Cc1cc(C(=O)N2CCCn3nc(C(C)O)cc3C2)nc(C)n1os,-11.616
Cc1cnc2c(C(=O)N3CCCN(CC4=CC[C@H]5C[C@@H]4C5(C)C)CC3)cnn2c1os,-11.613
Cc1cc(CNC(=O)C2CCc3nn(CCOc4ccccc4)c(=O)n3CC2)n(C)n1os,-11.612
CN(C)C(=O)N1CCCn2nc(CNC(=O)NCc3ccc(F)cc3)cc2C1os,-11.608
O=C1CCCCC(CNC(=O)c2nccc3ccccc23)N1os,-11.601
COc1ccc2c(c1)CCN(C(=O)N[C@H]1CC13CCOCC3)CC2os,-11.599
CCCN1CCC(CCNC(=O)c2cc3n(n2)CC(O)CNC3=O)CC1os,-11.595
O=C(c1cc2ncccn2n1)N1CCCn2nc(C(O)C3CC3)cc2C1os,-11.594
Cc1cccc(C(=O)NC(C)c2nnc3n2CCCCC3)n1os,-11.591
O=C1CCC(N2CCOC3(CCN(Cc4nccs4)CC3)C2)CCN1os,-11.59
CCNC(=O)Nc1ccc2c(c1)CN(C(=O)CCn1nc(C)cc1C)CCO2os,-11.588
COCCn1c(C)cc(C(=O)N2CCCC(c3cc4n(n3)CCCNC4=O)C2)c1Cos,-11.585
Cc1cccc(CN2CCCn3nc(C(=O)NCCCN4CCN(C)CC4)cc3C2=O)c1os,-11.584
NC(=O)NC(=O)CN1CCCN(C(=O)c2c[nH]c3ccccc23)CC1os,-11.583
O=C(Cn1nc2n(c1=O)CCCCC2)Nc1ccc(C(F)(F)F)cc1os,-11.583
O=C(c1ccc2c(c1)CN(C(=O)c1ccncc1)CCO2)N1CCCC1os,-11.578
Cc1nccc(CNC(=O)NCc2nnc3n2CCCCC3)n1os,-11.57
COc1cccc(C(=O)NC(C)c2nnc3n2CCCCC3)c1os,-11.56
Cc1cccc(C(=O)NC2CCCCNC2=O)c1Ios,-11.555
CN=c1cc(C)[nH]c(N2CCCn3nc(C(O)C4CCC4)cc3C2)n1os,-11.552
O=C1CCN(C(=O)C2COc3ccc(Cl)cc3C2)CCN1os,-11.547
Cc1ccc2c(c1)CN(Cc1cnc3cccc(C)n13)CCO2os,-11.545
Cc1cc(=O)n(CC(=O)N2CCOc3ccc(CO)cc3C2)nc1Cos,-11.537
O=C(NCc1ccc(F)c(Cl)c1)NC1CCCCNC1=Oos,-11.536
COc1ccc2c(c1)OC(C)(C)CN(C(=O)NC[C@@H]1CNC(=O)C1)C2os,-11.52
CC1C(=O)NCCCN1C(=O)c1ccc(CN2CCN(C)CC2)cc1os,-11.514
