,Unnamed: 0,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,eos,rules_sum,scores_sum,warning_scores,warning_PAINS
11193,985,COc1cccc(CN(C)C(=O)CCC(=O)c2ccc(C)s2)c1OC,-3.404,2.774,2.43,0.008,0.009,0.004,0.057,0.632,-4.645,2.1866673705517314e-05,0.698,91.24140930175781%,0.817,3.8094584941864014%,0.851,0.948,0.955,0.893,0.718,0.705,0.651,0.874,0.901,0.781,8.834,0.333,0.086,0.108,0.314,0.339,0.032,0.035,0.13,0.133,0.003,0.017,0.291,0.95,2.743,3.635,4.135,0.028,0.008,0.699,0.105,0.468,0.032,0.076,0.653,0.57,0.019,0.195,0.047,361.13,366.279,0.986,5,0,55.84,9,2,6,6,0,13,0.692,0,0,0,0,0,1,4,0,2,0.673,2.232,0.368,14.0,-1.364,2,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11464,4,16,,None
11195,987,Cc1cc(C)n(C[C@@H](C)CNC(=O)CCC(=O)c2cccs2)n1,-2.002,1.903,1.487,0.386,0.003,0.006,0.009,0.082,-4.582,4.486300531425513e-05,0.837,74.34131622314453%,0.848,28.16663360595703%,0.461,0.183,0.787,0.684,0.319,0.116,0.626,0.87,0.537,0.268,7.23,0.195,0.043,0.232,0.383,0.222,0.049,0.536,0.199,0.224,0.003,0.048,0.934,0.388,2.658,3.5,3.618,0.007,0.002,0.024,0.006,0.153,0.037,0.007,0.655,0.014,0.021,0.057,0.024,333.15,338.736,0.984,5,1,63.99,9,2,5,6,0,12,0.75,1,0,0,0,0,0,1,0,2,0.755,2.825,0.471,26.0,-2.448,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS9843,4,16,,None
11216,1008,Cc1cc(C(=O)N2CCC([C@H](O)c3ccccc3)CC2)c(C)s1,-3.902,3.324,3.467,0.021,0.152,0.003,0.005,0.014,-4.522,1.999752566916868e-05,0.409,93.79862976074219%,0.878,4.973115921020508%,0.138,0.781,0.812,0.499,0.716,0.547,0.202,0.793,0.088,0.496,4.491,0.047,0.102,0.504,0.176,0.005,0.034,0.061,0.053,0.036,0.004,0.277,0.044,0.653,3.246,3.794,4.095,0.044,0.005,0.022,0.01,0.146,0.011,0.004,0.189,0.008,0.166,0.096,0.004,329.14,342.778,0.96,3,1,40.54,4,3,6,4,0,18,0.222,1,0,0,0,0,0,0,0,1,0.926,2.638,0.421,57.296,-1.32,1,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS9846,3,16,,None
11218,1010,CC(C(=O)N1CC2(CNC(=O)O2)C1)c1cccc(F)c1,-2.3,1.268,1.511,0.3,0.015,0.005,0.008,0.006,-4.756,6.02438158239238e-05,0.898,68.17313385009766%,0.633,22.31403160095215%,0.056,0.099,0.131,0.745,0.042,0.146,0.073,0.278,0.269,0.351,6.138,0.098,0.292,0.349,0.237,0.189,0.526,0.443,0.22,0.701,0.003,0.008,0.129,0.353,2.101,2.883,5.188,0.108,0.015,0.083,0.035,0.604,0.007,0.493,0.284,0.009,0.012,0.077,0.386,278.11,266.28,1.044,5,1,58.64,3,3,6,6,0,17,0.176,1,1,1,1,0,1,0,2,0,0.885,3.654,0.429,79.2,-0.59,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11323,4,16,,None
11229,1021,COc1cc(C(=O)N2CCOC[C@@H](C3CCC3)C2)cc(C)n1,-2.923,2.667,2.448,0.005,0.004,0.002,0.143,0.17,-4.619,1.0870287951547652e-05,0.865,48.33473587036133%,0.812,28.5676212310791%,0.081,0.183,0.243,0.638,0.223,0.151,0.069,0.773,0.285,0.267,3.861,0.172,0.151,0.278,0.614,0.008,0.011,0.038,0.649,0.246,0.005,0.328,0.469,0.543,2.777,3.31,3.673,0.021,0.005,0.026,0.036,0.123,0.007,0.002,0.071,0.007,0.029,0.009,0.005,304.18,314.737,0.966,5,0,51.66,4,3,7,5,0,18,0.222,1,0,0,0,0,2,0,0,0,0.86,2.894,0.647,58.286,-1.098,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11327,4,16,,None
11237,1029,CC(C)N(C)C(O)c1cc(O)n(C)c1-c1cccnc1,-1.792,1.302,0.594,0.0,0.019,0.01,0.006,0.048,-5.08,8.187706043827347e-06,0.936,51.15158462524414%,2.428,59.07191467285156%,0.588,0.743,0.061,0.714,0.024,0.784,0.058,0.897,0.107,0.584,9.14,0.75,0.062,0.162,0.087,0.057,0.349,0.722,0.35,0.111,0.003,0.012,0.933,0.399,2.142,2.932,3.671,0.001,0.001,0.007,0.004,0.103,0.085,0.005,0.042,0.003,0.001,0.018,0.006,275.16,288.272,0.955,5,2,61.52,4,2,6,5,0,11,0.364,1,0,0,0,0,2,0,0,2,0.839,3.576,0.4,28.0,-0.679,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS11330,4,16,,None
11247,1039,Cc1ccn(Cc2ccccc2C)c(=O)c1,-2.735,3.12,2.7,0.122,0.01,0.003,0.466,0.003,-4.488,3.267886495450512e-05,0.918,88.82709503173828%,0.783,13.182870864868164%,0.829,0.931,0.945,0.371,0.48,0.341,0.367,0.872,0.513,0.441,9.191,0.641,0.026,0.23,0.636,0.235,0.016,0.059,0.211,0.551,0.146,0.861,0.032,0.736,3.305,4.038,3.808,0.017,0.003,0.039,0.139,0.082,0.006,0.004,0.044,0.007,0.644,0.022,0.005,213.12,237.556,0.897,2,0,22.0,2,2,6,2,0,13,0.154,0,0,0,0,0,1,0,0,0,0.751,1.854,0.214,11.0,-1.483,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS9850,4,16,,None
11265,1057,CN(CCCNC(=O)CSc1nncn1C)c1ccccc1,-1.206,1.882,1.074,0.0,0.115,0.053,0.004,0.011,-5.002,6.903621851961361e-06,0.967,79.95240783691406%,1.659,18.050355911254883%,0.362,0.665,0.67,0.657,0.262,0.123,0.062,0.165,0.352,0.351,6.295,0.856,0.273,0.269,0.623,0.2,0.447,0.038,0.709,0.657,0.007,0.237,0.906,0.394,3.116,3.44,3.964,0.197,0.004,0.256,0.142,0.179,0.006,0.456,0.531,0.009,0.007,0.088,0.017,319.15,317.348,1.006,6,1,63.05,9,2,6,7,0,12,0.75,0,0,0,1,0,1,0,0,1,0.591,2.196,0.4,11.0,-2.804,3,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11341,4,16,,None
11292,1084,CCOCCN1CCN(C(=O)C(C)(C)CCOC)C[C@@H]1C,-0.728,1.343,1.104,0.337,0.004,0.002,0.946,0.059,-4.582,9.549527931085322e-06,0.385,13.720640182495117%,0.85,81.95329284667969%,0.008,0.095,0.028,0.929,0.004,0.163,0.011,0.435,0.011,0.524,5.136,0.235,0.019,0.326,0.025,0.02,0.02,0.023,0.121,0.164,0.003,0.017,0.11,0.178,1.563,2.199,3.262,0.033,0.004,0.008,0.005,0.415,0.028,0.003,0.186,0.003,0.016,0.008,0.004,300.24,322.464,0.931,5,0,42.01,9,1,6,5,0,7,1.286,1,0,0,0,0,1,0,0,1,0.639,3.056,0.938,22.581,-1.141,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11511,4,16,,None
11301,1093,Cc1ccccc1OCCN(C)C(=O)C1CCNC1,-1.494,1.46,1.304,0.001,0.763,0.005,0.019,0.246,-4.747,8.750268534640782e-06,0.854,57.94172286987305%,2.465,52.596397399902344%,0.178,0.173,0.1,0.941,0.005,0.214,0.818,0.882,0.259,0.737,7.826,0.702,0.485,0.411,0.039,0.024,0.363,0.067,0.568,0.086,0.005,0.019,0.919,0.486,2.533,3.296,3.751,0.014,0.004,0.036,0.005,0.121,0.007,0.003,0.19,0.011,0.126,0.013,0.011,262.17,279.911,0.937,4,1,41.57,6,2,6,4,0,12,0.5,1,0,0,0,0,1,0,0,0,0.873,2.563,0.533,36.826,-1.272,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11515,4,16,,None
11303,1095,C[C@]1(C(=O)N2CCCc3occc3C2)CCC(=O)NC1,-1.132,0.981,0.899,0.008,0.022,0.007,0.01,0.314,-5.395,8.69356699695345e-06,0.965,55.04501724243164%,1.002,57.586551666259766%,0.023,0.391,0.288,0.68,0.177,0.074,0.154,0.144,0.478,0.277,6.755,0.672,0.028,0.371,0.069,0.029,0.489,0.339,0.187,0.218,0.003,0.008,0.05,0.138,1.914,2.064,4.103,0.155,0.006,0.107,0.12,0.303,0.014,0.008,0.416,0.013,0.144,0.024,0.018,276.15,280.145,0.986,5,1,62.55,2,3,10,5,0,19,0.105,1,0,0,0,0,0,1,0,1,0.845,3.517,0.6,62.333,0.025,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11517,4,16,,None
11310,1102,CCCN(C1CCN(C(=O)c2ccccc2)CC1)C(O)c1coc(=O)[nH]1,-1.954,1.918,1.155,0.0,0.685,0.927,0.032,0.059,-5.475,1.816675467125605e-05,0.243,54.35190200805664%,1.38,39.163883209228516%,0.045,0.107,0.041,0.055,0.006,0.022,0.091,0.17,0.003,0.225,6.425,0.736,0.175,0.37,0.585,0.005,0.216,0.791,0.233,0.709,0.003,0.026,0.353,0.346,2.216,2.717,3.651,0.442,0.003,0.008,0.003,0.319,0.008,0.003,0.397,0.007,0.002,0.017,0.004,359.18,363.843,0.987,7,2,89.78,7,3,6,7,0,19,0.368,1,0,0,0,0,1,0,0,1,0.77,3.288,0.474,57.071,-1.039,1,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS11356,4,16,,None
11318,1110,CN(CCCN(C)C(=O)c1cc(Cl)cn1C)Cc1ccncc1,0.058,1.871,1.781,0.003,0.016,0.019,0.005,0.036,-4.946,1.0704203305067496e-05,0.975,62.0906982421875%,1.945,57.335914611816406%,0.724,0.879,0.684,0.898,0.325,0.329,0.897,0.899,0.774,0.806,8.702,0.545,0.23,0.366,0.621,0.006,0.425,0.217,0.765,0.141,0.003,0.012,0.799,0.393,2.474,3.302,3.09,0.026,0.002,0.011,0.015,0.12,0.006,0.003,0.089,0.005,0.015,0.028,0.024,334.16,337.645,0.99,5,0,41.37,8,2,6,6,0,12,0.667,0,0,0,0,0,3,0,1,1,0.781,2.466,0.412,13.0,-1.707,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11358,4,16,,None
11319,1111,C[C@H](O)CN1CCN(C(=O)NCCc2ccccc2)CC1,-1.231,1.351,1.13,0.005,0.997,0.332,0.098,0.324,-4.874,1.9909959519281983e-05,0.915,48.63840866088867%,1.235,48.90482711791992%,0.05,0.095,0.258,0.913,0.038,0.45,0.533,0.883,0.035,0.471,7.106,0.595,0.278,0.092,0.028,0.036,0.025,0.518,0.131,0.035,0.003,0.016,0.347,0.339,1.974,2.278,2.802,0.448,0.003,0.01,0.004,0.447,0.009,0.005,0.433,0.008,0.004,0.011,0.009,291.19,308.204,0.945,5,2,55.81,7,2,6,5,0,13,0.538,1,0,0,0,0,0,0,0,0,0.849,2.315,0.562,36.52,-1.284,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11359,4,16,,None
11320,1112,O=C1CC(C(=O)N2CC[C@H](Oc3cncc(Br)c3)C2)C1,-1.201,1.133,1.155,0.891,0.001,0.004,0.006,0.495,-4.624,1.6715679521439597e-05,0.721,37.94232177734375%,0.728,61.998504638671875%,0.128,0.134,0.727,0.542,0.14,0.234,0.057,0.796,0.791,0.268,3.842,0.674,0.351,0.502,0.384,0.054,0.196,0.93,0.714,0.936,0.004,0.039,0.176,0.317,2.301,2.778,3.654,0.016,0.012,0.148,0.023,0.179,0.006,0.436,0.035,0.019,0.16,0.128,0.083,338.03,279.496,1.209,5,0,59.5,4,3,6,6,0,17,0.235,1,0,0,0,0,2,1,1,1,0.843,3.03,0.5,58.667,-1.055,2,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11360,4,16,,None
11327,1119,CNC1(CNC(=O)c2cccc(OC)c2)CCC1,-1.21,1.573,1.642,0.001,0.006,0.006,0.003,0.108,-4.934,2.819347355398349e-05,0.791,24.442094802856445%,2.159,60.167606353759766%,0.142,0.656,0.119,0.587,0.023,0.364,0.711,0.698,0.236,0.168,7.731,0.411,0.104,0.672,0.032,0.052,0.118,0.886,0.612,0.105,0.003,0.013,0.949,0.323,2.369,2.756,3.63,0.006,0.002,0.012,0.004,0.138,0.003,0.004,0.266,0.015,0.004,0.02,0.008,248.15,262.615,0.945,4,2,50.36,6,2,6,4,0,11,0.545,0,0,0,0,0,0,0,0,0,0.831,2.165,0.5,28.571,-0.639,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11528,4,16,,None
11336,1128,CCc1ccc(CC(=O)N2CCC(OCCCN(C)C)CC2)nc1,-0.201,1.342,1.349,0.047,0.205,0.007,0.025,0.014,-5.251,7.151243607950164e-06,0.919,47.11919403076172%,1.84,62.916038513183594%,0.008,0.126,0.024,0.947,0.01,0.135,0.031,0.574,0.015,0.76,9.378,0.426,0.258,0.381,0.125,0.005,0.219,0.277,0.915,0.476,0.003,0.011,0.52,0.462,1.888,2.406,3.485,0.589,0.008,0.006,0.018,0.175,0.009,0.013,0.303,0.006,0.02,0.009,0.007,333.24,360.092,0.925,5,0,45.67,9,2,6,5,0,13,0.692,0,0,0,0,0,3,1,0,1,0.684,2.345,0.684,27.75,-1.09,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11367,4,16,,None
11338,1130,COc1ccccc1C(=O)N(C)Cc1ccco1,-2.203,2.096,1.873,0.001,0.004,0.018,0.062,0.569,-4.393,3.375139203853905e-05,0.811,86.618896484375%,0.853,13.485810279846191%,0.829,0.901,0.912,0.851,0.316,0.4,0.034,0.899,0.194,0.403,7.808,0.886,0.416,0.134,0.479,0.106,0.416,0.014,0.066,0.545,0.004,0.133,0.28,0.596,2.59,3.705,3.485,0.17,0.021,0.021,0.022,0.14,0.006,0.003,0.121,0.01,0.502,0.043,0.004,245.11,255.136,0.961,4,0,42.68,5,2,6,4,0,12,0.417,0,0,0,0,0,1,1,0,1,0.831,1.803,0.214,11.0,-1.722,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11533,4,16,,None
11344,1136,CONC(=O)N1CCCC[C@@H]1CC(C)C,-2.809,2.328,2.652,0.001,0.094,0.004,0.024,0.143,-4.403,4.379775418783538e-05,0.992,82.8973617553711%,1.039,19.322406768798828%,0.042,0.594,0.128,0.862,0.067,0.928,0.007,0.465,0.04,0.26,9.06,0.609,0.011,0.664,0.69,0.011,0.033,0.031,0.468,0.054,0.004,0.29,0.049,0.489,2.413,3.04,2.759,0.009,0.002,0.019,0.006,0.205,0.007,0.004,0.128,0.002,0.008,0.026,0.005,214.17,227.193,0.943,4,1,41.57,5,1,6,4,0,7,0.714,1,0,0,0,1,0,0,0,1,0.731,3.044,0.909,17.333,-0.379,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11370,4,16,,None
11356,1148,CCCC1(CCC)NC(=O)N(C[C@H](O)COc2c(C)cccc2C)C1=O,-4.456,4.11,4.148,0.059,0.72,0.004,0.025,0.006,-4.676,1.9428201994742267e-05,0.983,89.48286437988281%,0.782,8.733217239379883%,0.217,0.885,0.773,0.935,0.648,0.48,0.054,0.485,0.836,0.602,7.664,0.267,0.094,0.57,0.667,0.678,0.027,0.295,0.213,0.151,0.003,0.009,0.016,0.429,2.256,3.174,3.169,0.336,0.003,0.285,0.015,0.214,0.005,0.045,0.37,0.007,0.011,0.451,0.279,362.22,381.335,0.95,6,2,78.87,9,2,6,6,0,13,0.692,1,0,0,0,0,0,3,0,0,0.662,3.043,0.6,49.0,-0.802,1,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS11541,3,16,,None
11366,1158,CC(C)N(CC(N)=O)C[C@H]1CCCN1C,-0.602,-0.256,-1.101,0.002,0.943,0.006,0.031,0.005,-4.94,9.468062671658116e-06,0.405,10.331571578979492%,1.001,92.71986389160156%,0.016,0.07,0.02,0.84,0.001,0.147,0.02,0.77,0.003,0.701,10.162,0.341,0.047,0.513,0.044,0.02,0.019,0.081,0.364,0.791,0.004,0.022,0.874,0.217,1.995,2.376,3.056,0.03,0.001,0.006,0.001,0.543,0.009,0.008,0.02,0.004,0.005,0.003,0.007,213.18,229.4,0.929,4,2,49.57,5,1,5,4,0,6,0.833,1,0,0,0,0,1,0,0,0,0.713,2.988,0.909,19.048,-0.956,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11381,4,16,,None
11368,1160,C[C@H](O)C(C)(C)CNC(=O)COc1ccc(Oc2ccccn2)cc1,-3.434,2.185,2.228,0.442,0.003,0.004,0.004,0.008,-4.646,2.294077603437472e-05,0.32,93.02882385253906%,0.553,7.309305667877197%,0.493,0.094,0.871,0.712,0.808,0.912,0.287,0.585,0.151,0.408,9.863,0.581,0.396,0.207,0.226,0.134,0.182,0.723,0.319,0.104,0.003,0.016,0.736,0.443,3.02,3.313,4.235,0.064,0.012,0.442,0.037,0.238,0.006,0.009,0.102,0.02,0.012,0.253,0.075,344.17,358.766,0.959,6,2,80.68,9,2,6,6,0,13,0.692,1,0,0,0,0,1,0,0,0,0.77,2.732,0.368,28.0,-1.123,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11382,4,16,,None
11369,1161,CC(C)c1ccccc1-n1ccnc1SCC(=O)N1CCN(CC(=O)NC(C)(C)C)CC1,-2.448,3.506,2.938,0.291,0.191,0.136,0.006,0.004,-5.162,1.9700184566318057e-05,0.955,95.52996063232422%,1.437,6.091854572296143%,0.031,0.114,0.665,0.891,0.483,0.599,0.163,0.337,0.944,0.928,4.802,0.459,0.277,0.109,0.555,0.011,0.144,0.637,0.897,0.199,0.003,0.011,0.819,0.52,2.085,2.957,4.073,0.136,0.002,0.028,0.006,0.15,0.026,0.019,0.633,0.003,0.01,0.228,0.011,457.25,470.609,0.972,7,1,70.47,10,3,6,8,0,19,0.526,0,0,0,0,0,1,0,0,3,0.647,2.459,0.542,46.541,-2.137,2,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS11383,3,16,,None
11385,1177,C[C@@H]1CN(Cc2ccccc2OCC(=O)N(C)C)CC1C(N)=O,-0.976,0.742,0.436,0.002,0.917,0.025,0.217,0.374,-5.35,4.6071072574704885e-05,0.93,77.1742935180664%,1.353,47.99068832397461%,0.042,0.09,0.031,0.896,0.008,0.094,0.07,0.629,0.027,0.629,10.726,0.404,0.261,0.128,0.556,0.112,0.063,0.018,0.345,0.75,0.003,0.021,0.044,0.37,2.26,3.206,2.836,0.218,0.024,0.073,0.003,0.227,0.07,0.005,0.052,0.008,0.053,0.021,0.01,319.19,331.654,0.962,6,2,75.87,7,2,6,6,0,13,0.538,2,0,0,0,0,1,0,0,0,0.838,3.033,0.529,46.308,-1.259,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS9868,4,16,,None
11387,1179,CN1CCO[C@@H](CNCc2cccc(Cl)c2)C1,-0.351,1.845,1.804,0.001,0.019,0.003,0.005,0.016,-4.475,2.18937002500752e-05,0.956,24.426469802856445%,3.254,67.72259521484375%,0.202,0.104,0.092,0.953,0.004,0.08,0.919,0.889,0.085,0.55,11.652,0.321,0.317,0.66,0.097,0.514,0.559,0.582,0.902,0.071,0.326,0.013,0.964,0.833,3.191,3.134,4.164,0.005,0.002,0.016,0.005,0.106,0.002,0.004,0.068,0.01,0.003,0.007,0.019,254.12,254.377,0.999,3,1,24.5,4,2,6,4,0,12,0.333,1,1,0,0,0,2,0,1,1,0.886,2.579,0.538,34.0,-1.541,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11391,4,16,,None
11388,1180,N[C@H]1CCCN(C(=O)c2ccc(N3CCNC3=O)cc2)C1,-1.186,-0.793,-0.059,0.004,0.88,0.811,0.977,0.943,-5.753,9.490669071965384e-06,0.773,15.98067855834961%,1.025,74.9006118774414%,0.062,0.08,0.103,0.116,0.138,0.085,0.087,0.763,0.072,0.147,2.884,0.295,0.184,0.571,0.432,0.046,0.111,0.207,0.47,0.485,0.003,0.013,0.234,0.233,2.15,2.368,3.29,0.269,0.01,0.324,0.014,0.352,0.004,0.006,0.439,0.023,0.004,0.091,0.082,288.16,290.712,0.991,6,3,78.67,3,3,6,6,0,19,0.158,1,0,0,1,0,0,1,0,1,0.844,2.639,0.467,58.182,-1.564,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11554,4,16,,None
11394,1186,CC(C)Cc1c(O)n(C(C2CCC2)C2CCC2)c(=O)n1C,-4.427,4.145,4.418,0.022,0.036,0.004,0.005,0.619,-4.565,1.5572044503642246e-05,0.293,86.76580810546875%,0.905,2.9146153926849365%,0.101,0.424,0.437,0.581,0.805,0.881,0.138,0.105,0.216,0.36,7.148,0.539,0.008,0.246,0.147,0.006,0.148,0.031,0.2,0.223,0.004,0.069,0.675,2.142,4.236,4.786,4.756,0.004,0.002,0.01,0.01,0.106,0.018,0.007,0.085,0.001,0.126,0.159,0.006,292.22,311.22,0.939,4,1,47.16,5,3,5,4,0,14,0.357,0,0,0,0,0,0,0,0,1,0.905,3.028,0.824,45.29,-0.08,0,0,0,0,Accepted,Rejected,Rejected,Accepted,EOS11394,2,16,,None
11395,1187,CN1CCO[C@@H](CNCc2cncc(Br)c2)C1,0.743,1.176,0.951,0.0,0.001,0.003,0.005,0.673,-4.562,1.113129019358894e-05,0.906,28.030550003051758%,1.169,73.66605377197266%,0.118,0.271,0.096,0.923,0.005,0.096,0.398,0.862,0.539,0.313,9.01,0.554,0.106,0.26,0.083,0.031,0.331,0.701,0.942,0.099,0.788,0.016,0.952,0.55,2.812,3.005,4.063,0.005,0.002,0.01,0.004,0.069,0.002,0.005,0.039,0.01,0.005,0.005,0.01,299.06,252.15,1.186,4,1,37.39,4,2,6,5,0,12,0.333,1,0,0,0,0,2,0,1,1,0.908,2.955,0.583,34.211,-1.453,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11395,4,16,,None
11398,1190,CCc1ccc2c(CN3CCC[C@@]34CCNC4=O)cc(=O)oc2c1,-2.424,2.492,2.827,0.009,0.968,0.006,0.987,0.789,-4.852,1.3812283214065246e-05,0.746,57.22896957397461%,2.43,44.49159622192383%,0.202,0.822,0.569,0.88,0.489,0.216,0.898,0.415,0.8,0.92,13.839,0.387,0.06,0.394,0.346,0.087,0.302,0.89,0.101,0.532,0.003,0.01,0.09,0.162,2.318,3.314,3.668,0.009,0.003,0.688,0.038,0.185,0.038,0.005,0.536,0.014,0.015,0.251,0.253,326.16,335.5,0.972,5,1,62.55,3,4,10,5,0,23,0.13,1,0,0,1,0,0,0,0,1,0.879,3.631,0.474,97.429,-0.086,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11559,4,16,,None
11407,1199,CCC(C)(C)OCC(=O)N1CCCC(c2nnc3ccccn23)C1,-1.15,2.023,1.62,0.005,0.002,0.007,0.004,0.007,-4.541,2.443350058456417e-05,0.358,55.345855712890625%,1.125,46.39554977416992%,0.02,0.134,0.125,0.833,0.03,0.24,0.015,0.309,0.046,0.488,6.458,0.503,0.039,0.529,0.141,0.005,0.02,0.671,0.19,0.834,0.003,0.043,0.03,0.673,2.139,2.846,3.689,0.01,0.012,0.024,0.05,0.127,0.061,0.004,0.344,0.003,0.032,0.059,0.005,330.21,342.6,0.964,6,0,59.73,6,3,9,6,0,17,0.353,1,0,0,0,0,2,0,0,0,0.845,3.071,0.611,60.207,-1.793,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11399,4,16,,None
11408,1200,Cc1cc(C)n(CC(=O)N2CCC[C@@](O)(c3c[nH]nn3)C2)n1,-1.023,-0.097,0.158,0.001,0.997,0.006,0.005,0.028,-5.403,4.601248292601667e-06,0.564,60.93739700317383%,1.083,58.72056579589844%,0.008,0.203,0.025,0.068,0.014,0.194,0.005,0.087,0.012,0.171,5.103,0.184,0.046,0.67,0.05,0.005,0.002,0.916,0.116,0.062,0.003,0.031,0.028,0.012,1.181,1.618,3.358,0.034,0.015,0.112,0.541,0.114,0.007,0.008,0.057,0.006,0.004,0.011,0.005,304.16,295.41,1.03,8,2,99.93,4,3,6,8,0,17,0.235,1,0,0,0,0,0,0,0,0,0.839,3.637,0.571,62.182,-1.778,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11400,4,16,,None
11412,1204,CC(C(N)=O)N(C)Cc1ccc(C(=O)NCC(F)(F)F)cc1,-1.853,1.033,0.688,0.002,0.008,0.004,0.002,0.003,-5.343,1.011404219752876e-05,0.491,31.556400299072266%,1.468,69.95150756835938%,0.134,0.213,0.365,0.617,0.256,0.251,0.746,0.501,0.084,0.549,5.484,0.263,0.149,0.516,0.101,0.055,0.19,0.591,0.132,0.148,0.003,0.011,0.34,0.432,2.36,3.178,4.823,0.014,0.001,0.01,0.002,0.237,0.012,0.004,0.035,0.006,0.006,0.012,0.011,317.14,297.735,1.065,5,3,75.43,8,1,6,8,0,8,1.0,1,0,0,0,0,2,0,1,0,0.83,2.588,0.429,24.0,-1.62,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11565,4,16,,None
11419,1211,NC(=O)C1CCN(C(=O)NCc2ccc3c(c2)OCCO3)CC1,-2.833,0.282,-0.2,0.003,0.99,0.011,0.946,0.324,-5.363,6.090770966693526e-06,0.912,59.93147277832031%,0.692,28.936508178710938%,0.132,0.097,0.182,0.286,0.044,0.211,0.027,0.816,0.052,0.162,7.852,0.464,0.155,0.072,0.04,0.017,0.086,0.04,0.194,0.033,0.003,0.008,0.011,0.29,1.824,2.305,3.995,0.416,0.018,0.178,0.006,0.362,0.026,0.011,0.482,0.158,0.028,0.225,0.048,319.15,314.592,1.014,7,3,93.89,5,3,10,7,0,19,0.263,0,0,0,0,0,0,2,0,0,0.864,2.107,0.5,41.333,-1.578,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11568,4,16,,None
11430,1222,CC(=O)c1[nH]c(CCN(C)C[C@H](O)COCc2ccccc2)nc1C,-2.322,1.999,1.637,0.607,0.676,0.007,0.188,0.42,-4.944,1.127076302509522e-05,0.741,49.792659759521484%,3.35,57.96543884277344%,0.126,0.197,0.061,0.218,0.007,0.02,0.569,0.174,0.034,0.679,7.151,0.804,0.346,0.338,0.032,0.031,0.14,0.725,0.282,0.122,0.003,0.02,0.895,0.065,1.938,2.573,3.645,0.032,0.003,0.008,0.004,0.115,0.005,0.005,0.051,0.011,0.005,0.009,0.006,345.21,363.609,0.949,6,2,78.45,10,2,6,6,0,12,0.833,1,0,0,0,0,2,1,0,1,0.644,3.068,0.474,26.0,-1.106,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS11411,4,16,,None
