,Molecule,Score,admet_smiles
101,EOS1545,-7.912,Cc1n[nH]c([C@@]23CCN(C(=O)c4cn(C)cn4)C[C@@H]2CN(C(=O)C2CC2)C3)n1
102,EOS1650,-6.539,COCCNC(=O)c1cc2n(n1)C[C@@H](NC(=O)NCCC(C)C)C2
103,EOS1403,-6.834,CN(CC1CCOC1)C(=O)NCc1ccc(F)cc1
104,EOS1659,-7.159,COCCNC(=O)c1cc2n(n1)CCN(C(=O)c1sccc1C)C2
105,EOS1661,-7.635,COCCNC(=O)c1cc2n(n1)CCN(C(=O)c1ccc(OC)cc1OC)C2
106,EOS1404,-8.323,Cc1ccc(C(=O)N2CC(CNC(=O)N3CCCC3)C3(CCOCC3)C2)s1
107,EOS1622,-7.67,CCC(=O)N[C@H]1Cc2c(C(=O)NCc3ccccc3)cnn2C1
108,EOS1666,-9.206,COc1cccc(NC(=O)N2CCn3nc(C(=O)NCc4ccccc4)cc3C2)c1
109,EOS1629,-11.6,CN(CC(=O)N1CCCCCC1)C(=O)c1cc2n(n1)C[C@@H](Oc1cccnc1)C2
110,EOS1673,-8.251,CCCn1c(=O)c2ccc(C(=O)NC(C)CC)cc2n2c(=O)n(CC(=O)NC(C)C)nc12
111,EOS1674,-8.49,CC(C)Cn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(=O)n(CC(=O)NC3CCCC3)nc12
112,EOS1675,-8.752,CCC(C)NC(=O)c1ccc2c(=O)n(C)c3nn(CC(=O)NC4CCCCC4)c(=O)n3c2c1
113,EOS1676,-9.191,CCC(C)NC(=O)c1ccc2c(=O)n(C)c3nn(CC(=O)Nc4ccc(C)cc4)c(=O)n3c2c1
114,EOS1677,-10.495,Cn1c(=O)c2ccc(C(=O)NC3CCCCC3)cc2n2c(=O)n(CC(=O)NC3CCCC3)nc12
115,EOS1678,-9.639,CC(C)CNC(=O)c1ccc2c(=O)n(C)c3nn(CC(=O)NCc4ccccc4)c(=O)n3c2c1
116,EOS1679,-8.735,CC(C)CNC(=O)c1ccc2c(=O)n(C(C)C)c3nn(CC(=O)NC4CCCC4)c(=O)n3c2c1
117,EOS1680,-7.898,CCC(C)NC(=O)c1ccc2c(=O)n(C3CC3)c3nn(CC(=O)NCCOC)c(=O)n3c2c1
118,EOS1681,-8.449,CCC(C)NC(=O)c1ccc2c(=O)n(C3CC3)c3nn(CC(=O)NC(C)C)c(=O)n3c2c1
119,EOS1682,-7.302,CCC(C)NC(=O)c1ccc2c(=O)n(CCC(C)C)c3nn(C)c(=O)n3c2c1
120,EOS1683,-8.028,CCCn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(SCC(=O)NC(C)(C)C)nnc12
121,EOS1685,-7.634,CC(C)Cn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(SCC(N)=O)nnc12
122,EOS1647,-7.974,COc1ccccc1CNC(=O)c1cc2n(n1)C[C@@H](N(C)C)C2
123,EOS1686,-7.348,CC(C)CNC(=O)c1ccc2c(=O)n(CC(C)C)c3nnc(SCC(N)=O)n3c2c1
124,EOS1687,-7.793,CCC(C)NC(=O)c1ccc2c(=O)n(C)c3nnc(SCC(=O)NC(C)C)n3c2c1
125,EOS1710,-8.128,Cc1ccc(NC(=O)c2nnc(CCCC(=O)NCCN3CCCC3)s2)cc1
126,EOS1713,-9.064,Cc1cccc(CNC(=O)CN2C(=O)CSc3ccc(C(=O)N4CCCC4)cc32)c1
127,EOS1834,-7.082,Cc1[nH]c(N2CCN(C)CC2)nc(=O)c1CCO
128,EOS1772,-7.272,COCCNC(=O)CCn1c(O)c2c(c1O)CC=CC2
129,EOS1775,-8.366,CCCCn1c(-n2nc(C)cc2C)nc2c1c(=O)n(CC(C)=O)c(=O)n2C
130,EOS1776,-5.296,OCCNCCCNCC1CCCCC1
131,EOS1841,-8.953,Cn1c(=O)[nH]c(=O)c2c1n1c(-c3ccccc3)nnc1n2C
132,EOS1434,-7.231,CC(C)CN1C(=O)CCC(C(=O)NCCCN2CCOCC2)[C@@H]1c1cccnc1
133,EOS1790,-6.987,C#CC1(OCC(O)CNC2CCCC2)CCCCC1
134,EOS1867,-8.254,CC1CCC(NC(O)c2cc(O)n(-c3ccc(F)cc3)c2)CC1
135,EOS1868,-8.145,COc1ccc(-n2cc(C(O)NC3CCC(C)CC3)cc2O)cc1
136,EOS1873,-6.704,Cc1cccc(C)c1OCC(=O)NCC1CCCO1
137,EOS1816,-6.069,C#CC(C)(CC)OCC(O)CN1CC(C)CC(C)C1
138,EOS1824,-7.616,Cc1n[nH]c2nc3ccccc3c(=O)n2c1=O
139,EOS1825,-7.031,CC12CNCC(C)(CN(C(=O)CC#N)C1)C2=O
140,EOS1827,-7.667,CN(C)CCNC(=O)COc1ccc2nc3n(c(=O)c2c1)CCC3
141,EOS1913,-7.36,CC(=O)c1ccc(NC(O)c2cc(O)n(C(C)C)c2)cc1
142,EOS1906,-7.822,CSc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1C
143,EOS1923,-6.893,CC(=O)c1ccccc1OCC(O)CN1CCOCC1
144,EOS1946,-6.875,CC(=O)c1ccccc1OCC(O)CN1CCN(C)CC1
145,EOS2029,-6.767,O=C(CNC(=O)c1ccc(Br)o1)NCC1CCCO1
146,EOS2036,-11.429,Cc1cccc(OC(C)C(=O)N2CCCCCC2)c1
147,EOS1955,-7.365,Cc1cc(OC(C)C(=O)NCC2CCCO2)cc(C)c1Cl
148,EOS1961,-6.552,CC(NC(=O)COc1ccccc1)C1CCCO1
