Molecule,Score
CNC(=O)c1ccc(OC)cc1,-5.819
CC(=O)Nc1ccccc1,-5.21
NC(=O)CNCCC(c1ccccc1)c1ccccc1,-6.795
NC(Cc1cc(O)c(O)cc1O)C(=O)O,-6.886
CN(C)Cc1ncccc1O,-5.058
CCCCc1cc(C(=O)O)[nH]n1,-5.979
COc1cc2c(cc1OC)CNCC2,-6.392
CCCN1CCC2(CC1)NCCc1[nH]cnc12,-6.655
N[C@H](CC(=O)O)c1ccccc1,-5.579
NCCC(=O)N=c1cccc[nH]1,-5.59
CCc1ccccc1NC(=O)C1CC1,-6.221
NC1CCCc2[nH]c(=O)ccc21,-6.503
Cn1nc2c(cc1=O)CNCC2,-5.966
c1c[nH]c(C2CNC2)n1,-4.896
NCC1CNCc2ccccc21,-6.154
NCCC1=CCOCC1,-4.95
NC(=O)C(O)Cc1ccccc1,-5.855
NC(=O)c1ccsc1N,-4.962
Cc1ccc(Cn2c(CN(C)Cc3ccccc3)nc3c2c(=O)n(C)c(=O)n3C)cc1,-8.231
CCNC(=O)NCc1ncoc1C,-5.784
Cn1cc(N)c(=O)c(Br)c1,-5.062
NCc1ccc2c(c1)CCC2,-5.772
CCn1ccnc1C(C)N,-5.01
CNC(=O)Cn1cnc2ccccc21,-6.28
CC(NC(=O)NC1CC1)c1cccc(F)c1,-6.623
CNCCc1ccccc1O,-5.519
CCC1(c2ccc(C)cc2)CC(=O)NC1=O,-6.899
NCCC(=O)N1CCCC1,-5.101
NC(=O)C1CCc2ccccc21,-6.432
CCCS(=O)(=O)Nc1cccc(O)c1,-5.705
NCCc1cncc(O)c1,-5.27
Cc1nc(C(=O)NCC(C)(C)O)cs1,-5.989
CCCC1(C)NC(=O)NC1=O,-5.713
CNC(=O)CCc1ccccc1,-5.653
CN(C)C(=O)c1cccc(NC(=O)C2CC2)c1,-6.448
NC(CCO)c1ccc(F)cc1,-5.726
C1CC(NC2CNC2)CCO1,-5.134
Cc1cccc(NC(=O)CO)c1,-5.855
CCOc1ncnc2c1CNCC2,-5.97
CNC(=O)CCn1c(O)c2c(c1O)CCCC2,-6.791
NCC(=O)NC1CCOc2ccccc21,-6.492
OC1(C(F)F)CCCCC1,-5.224
NC(=O)C1CNC[C@H]1c1ccccc1,-6.075
Cc1n[nH]c(C2CCCCN2)n1,-5.697
CNC(=O)Cc1coc2cc(OC)ccc12,-7.219
Cc1nc(C(C)(C)N)no1,-5.31
O=C1CCC(c2ccccc2)N1,-5.892
CC(N)(CO)C1CCCCC1,-5.54
NC(=O)CC1CCCC(=O)N1,-5.82
CNC(=O)C1CCNC1,-4.846
c1[nH]nc2c1CCCC2,-5.38
COc1cccc(NC(C)C)c1,-5.293
CC(=O)NC(C)C(=O)Nc1ccc(C)cc1,-6.51
O=C1CCNC2CCCN12,-5.586
NC(=O)C1CCOCC1,-5.252
OC1CCCc2c[nH]nc21,-5.566
CCN(C(=O)CN)c1ccccc1,-5.668
Cc1ccc(C(=O)NCc2cccs2)cc1,-6.273
CCNC(=O)c1ccccc1Br,-5.664
CC(O)CNCc1ccc2c(c1)OCO2,-6.059
CC(C)(C)C1CCCC(=O)N1,-5.747
CC(C)NC(=O)CN1CCCCCC1=O,-10.089
CN1C(=O)CCC(C(N)=O)C1c1ccccc1,-6.838
CCNC(=O)C1COc2ccccc2O1,-6.61
CC(C)N1C(=O)NC2(CCNC2)C1=O,-6.149
COc1ccc(C(=O)NC2CCCC2)cc1,-6.446
CC(=O)NCc1ncc[nH]1,-5.19
CC1NC(C)C(C)NC1=O,-5.617
Cc1cc(=NC(=O)NCC(C)O)n(C)[nH]1,-6.193
Cn1c(O)c2c(c1O)CNC2,-5.667
NCCCc1ncc[nH]1,-4.709
COc1cccc(NC2CCNCC2)c1,-6.136
c1ccc(OC2CNC2)cc1,-5.278
CNC(=O)C(N)Cc1c[nH]cn1,-5.715
NCC1CCc2cccnc21,-5.577
CC(CN)(CO)c1ccccc1,-5.904
Oc1ccc(C2CNCCN2)cc1,-6.16
CN1CCCC(C)(CN)C1,-5.105
C[C@H](O)CNC(=O)c1ccc(O)cc1,-6.128
COc1ccc(CN)cc1NC(C)=O,-6.109
CCOC1CC(N)(CO)C1(C)C,-5.28
NC(=O)C1(c2ccccc2)CC1,-5.968
CC(Oc1ccc(Cl)cc1)C(N)=O,-5.753
CC(C)NC(=O)c1cc[nH]n1,-5.201
NCCN1CCCCC1,-4.639
COCC(=O)Nc1cccc(NC(C)=O)c1,-6.293
CC(C)(NC(O)c1c[nH]c(O)c1)c1ccccc1,-7.09
COc1ccc(Br)cc1O,-5.136
Cn1ccnc1C1OCC[C@H]1N,-5.598
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-7.078
CNC(=O)NC1CNC1,-4.797
NCC(=O)Nc1ccccc1,-5.376
O=C(NCC(F)(F)F)c1ccc(O)cc1,-6.235
CC(=O)NCc1ccccc1,-5.602
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,-7.82
Cc1cscc1C(=O)N1CCCNCC1,-10.769
NC(=O)NCc1ccccc1F,-5.89
O=C(NCC1CCCO1)NC1CCCC1,-5.947
N=c1ccc(C2CC2)n[nH]1,-5.953
CC1NCCc2cc(O)ccc21,-6.515
CN(Cc1ccccc1)C(N)=O,-5.503
CNC(=O)CNC(=O)c1cccc(F)c1,-6.43
CC(=O)Nc1cccc(NC(=O)NC(C)C)c1,-6.786
Cc1ccccc1C1CNC(=O)C1,-6.354
NC(=O)C1CSCN1,-4.756
N[C@H](CO)Cc1ccccc1,-5.683
CNC(=O)c1cccc(CCN)c1,-6.225
Cc1ccc(C)c(C(=O)NC(C)C)c1,-6.16
N[C@@H]1CCOC1c1cc[nH]n1,-5.683
CNC(=O)CNC(=O)c1cc(C)ccc1O,-6.645
Cc1ccccc1NCC(=O)NC(N)=O,-6.546
CCc1c(C(=O)NC)[nH]c(C)c1C(C)=O,-6.281
CC(C)CNC(=O)NC1CC1,-4.88
NC(=O)NC1CCCOc2c(F)cccc21,-11.797
CC(Cc1ccc(Br)cc1)C(N)=O,-5.661
O=C(Nc1ccccc1)NC1CCCCC1O,-6.782
CN1C[C@@H]2CN(C(N)=O)C[C@]2(C)C1,-5.925
O=C(NC1CCSC1)c1cccc(F)c1,-6.235
CCC(=O)NC1CCc2ccccc21,-6.267
