,Molecule,Score,admetlab_smiles
2222,C1CC2(CCO1)CNCC2COCC1CC1,-6.062,C1CC2(CCO1)CNCC2COCC1CC1
2223,Cn1c(O)c2c(c1O)CN(Cc1ccc(Br)s1)C2,-6.732,Cn1c(O)c2c(c1O)CN(Cc1ccc(Br)s1)C2
2224,Cn1c(=O)c2nc(SCCC(=O)NCCc3ccc(Cl)cc3)n(C)c2n(C)c1=O,-8.856,Cn1c(=O)c2nc(SCCC(=O)NCCc3ccc(Cl)cc3)n(C)c2n(C)c1=O
2225,Cc1ccc(-n2c(C3CCN(C(=O)c4ccco4)CC3)n[nH]c2=O)cc1,-8.575,Cc1ccc(-n2c(C3CCN(C(=O)c4ccco4)CC3)n[nH]c2=O)cc1
2226,COCCN(C)C(=O)c1nn(C)c2c1COCC2,-6.113,COCCN(C)C(=O)c1nn(C)c2c1COCC2
2227,COCCOc1ccc2c(n1)CCNC2,-6.161,COCCOc1ccc2c(n1)CCNC2
2228,COCCOC1CCOC2(CCN(C(=O)NCc3ccc(C)cc3)CC2)C1,-8.051,COCCOC1CCOC2(CCN(C(=O)NCc3ccc(C)cc3)CC2)C1
2229,CC(C(=O)NCCc1ccccc1)C1CCOCC1,-6.689,CC(C(=O)NCCc1ccccc1)C1CCOCC1
2230,Cc1ccc(-c2cc(C(=O)NCC(C)C)n(C)c2)cc1,-7.775,Cc1ccc(-c2cc(C(=O)NCC(C)C)n(C)c2)cc1
2231,CCN(CC)C(=O)Cc1cccn1-c1ccc(F)cc1,-6.773,CCN(CC)C(=O)Cc1cccn1-c1ccc(F)cc1
2232,CC(C)(C)NC(=O)Cn1nc2n(c1=O)CCN(Cc1cccc(Cl)c1)C2=O,-8.964,CC(C)(C)NC(=O)Cn1nc2n(c1=O)CCN(Cc1cccc(Cl)c1)C2=O
2233,COCC(=O)N1CCCC(c2nc(CCNC(=O)C3CC3)cs2)C1,-7.172,COCC(=O)N1CCCC(c2nc(CCNC(=O)C3CC3)cs2)C1
2234,CC(C)NC(=O)c1ccccc1OCC1CCCNC1,-6.797,CC(C)NC(=O)c1ccccc1OCC1CCCNC1
2235,O=C(CC1CCOC2(CCN(Cc3cncs3)CC2)C1)N1CCCC1,-8.328,O=C(CC1CCOC2(CCN(Cc3cncs3)CC2)C1)N1CCCC1
2236,COc1ccccc1OCCNC(=O)C1(C)CCCCC(=O)N1,-10.966,COc1ccccc1OCCNC(=O)C1(C)CCCCC(=O)N1
2237,COCCN(CCNC(=O)C1Cn2cccc2C(=O)N1C)Cc1ccco1,-7.488,COCCN(CCNC(=O)C1Cn2cccc2C(=O)N1C)Cc1ccco1
2238,CC1(C)CCC[C@@]2(C)C1CC[C@]1(C)OC(=O)C[C@@H]12,-7.911,CC1(C)CCC[C@@]2(C)C1CC[C@]1(C)OC(=O)C[C@@H]12
2239,Cn1nc(C2CCNCC2)n(Cc2ccccc2)c1=O,-7.447,Cn1nc(C2CCNCC2)n(Cc2ccccc2)c1=O
2240,COc1ccc(CNC(=O)CCc2nc3ccc(C)cc3c(=O)n2C)cc1,-7.808,COc1ccc(CNC(=O)CCc2nc3ccc(C)cc3c(=O)n2C)cc1
2241,CN(C)CCn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-7.129,CN(C)CCn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
2242,O=C(NC1CCCC1)N1CCCC(c2nn[nH]n2)C1,-7.676,O=C(NC1CCCC1)N1CCCC(c2nn[nH]n2)C1
2243,CN1C(=O)CCC2(CNC(=O)Cn3c(=O)oc4ccccc43)CCCC=C12,-8.72,CN1C(=O)CCC2(CNC(=O)Cn3c(=O)oc4ccccc43)CCCC=C12
2244,CCN(CC)C(=O)CCc1ccc2ccn(CC)c2c1,-6.94,CCN(CC)C(=O)CCc1ccc2ccn(CC)c2c1
2245,CCN(CC)CC(O)COCc1nc2c(c(=O)n(C)c(=O)n2C)n1C,-6.805,CCN(CC)CC(O)COCc1nc2c(c(=O)n(C)c(=O)n2C)n1C
2246,CNC(=O)Nc1ccc(C)n(CC(=O)NCCC2=CCCCC2)c1=O,-8.142,CNC(=O)Nc1ccc(C)n(CC(=O)NCCC2=CCCCC2)c1=O
2247,O=C(Cc1c(O)[nH]c2c1CCCC2)NCC1CC1,-7.081,O=C(Cc1c(O)[nH]c2c1CCCC2)NCC1CC1
2248,CCC(=O)NCC1Cn2cccc2CN1Cc1ccccc1,-7.126,CCC(=O)NCC1Cn2cccc2CN1Cc1ccccc1
2249,Cc1cnc(C2CCN(Cc3ccncc3)CC2)n1[C@H](C)CO,-7.392,Cc1cnc(C2CCN(Cc3ccncc3)CC2)n1[C@H](C)CO
2250,O=C(N[C@@H]1CN(C2CCC2)CC[C@@H]1CO)C1CC1,-7.04,O=C(N[C@@H]1CN(C2CCC2)CC[C@@H]1CO)C1CC1
2251,CCN1CCC(N2CC[C@H](CO)[C@H](N(C)C)C2)CC1,-6.336,CCN1CCC(N2CC[C@H](CO)[C@H](N(C)C)C2)CC1
2252,Cc1n[nH]c(C2CCN(C3CCSCC3)C[C@H]2NC(=O)C2CCOCC2)n1,-8.277,Cc1n[nH]c(C2CCN(C3CCSCC3)C[C@H]2NC(=O)C2CCOCC2)n1
2253,COCCN(C)C(=O)CCc1ccc2c(c1)CN(C(=O)NC(C)C)CCO2,-10.755,COCCN(C)C(=O)CCc1ccc2c(c1)CN(C(=O)NC(C)C)CCO2
2254,OCC1CN(C2CCC2)CC12CCNCC2,-7.163,OCC1CN(C2CCC2)CC12CCNCC2
2255,COCC(=O)NC1CCc2nnc(C3CC3)n2CC1,-11.008,COCC(=O)NC1CCc2nnc(C3CC3)n2CC1
2256,COc1cccc(CN2CCn3c(C)nnc3C2C(=O)N2CCCC2)n1,-8.55,COc1cccc(CN2CCn3c(C)nnc3C2C(=O)N2CCCC2)n1
2257,Cn1nc2n(c1=O)CCC(NC(=O)C1CC=CCC1)CC2,-12.369,Cn1nc2n(c1=O)CCC(NC(=O)C1CC=CCC1)CC2
2258,COCCC(=O)N[C@@H]1CN(C)C[C@H]1CN(C)C,-5.734,COCCC(=O)N[C@@H]1CN(C)C[C@H]1CN(C)C
2259,CNC(=O)N1C[C@@H](N)[C@H](CN(C)C)C1,-5.694,CNC(=O)N1C[C@@H](N)[C@H](CN(C)C)C1
