,7nio_A_fpocket,7nio_E_fpocket,7nio_A_p2rank,7nio_E_p2rank,IoU
3951,10,8,7,5,0.007248
8152,27,19,4,1,0.007248
7707,25,23,9,10,0.007248
3761,9,27,2,2,0.007248
8622,29,29,11,8,0.007248
7664,25,15,2,1,0.007248
8780,32,2,4,2,0.007248
4291,11,11,11,8,0.007248
5881,18,18,1,6,0.007248
6857,22,22,4,2,0.007248
9072,32,37,4,4,0.007248
2060,5,8,11,6,0.007248
5368,16,10,2,1,0.007248
2946,7,19,1,3,0.007248
4282,11,10,7,5,0.007248
4636,13,16,1,3,0.007248
5730,18,2,10,13,0.007248
9811,37,32,4,4,0.007248
20,1,1,10,13,0.007248
5471,16,24,1,6,0.007248
3158,8,6,3,1,0.007248
3260,8,13,6,8,0.007248
1174,3,10,4,1,0.007248
3160,8,6,4,1,0.007248
1430,3,34,4,1,0.007248
1085,3,5,11,6,0.007248
5190,15,19,1,3,0.007248
1173,3,10,3,7,0.00722
3102,8,3,8,9,0.00722
6667,22,5,2,1,0.00722
8036,27,6,9,10,0.00722
4857,14,8,8,9,0.00722
8839,32,6,4,1,0.00722
572,2,3,10,13,0.00722
6794,22,16,1,2,0.00722
7100,23,8,4,1,0.00722
4037,10,16,1,2,0.00722
3257,8,13,3,1,0.00722
4856,14,8,7,5,0.00722
7878,26,19,1,3,0.00722
4859,14,8,11,6,0.00722
3234,8,10,8,9,0.00722
8459,29,6,1,3,0.00722
3997,10,12,1,1,0.00722
564,2,3,3,7,0.00722
6117,19,6,1,3,0.00722
5116,15,6,2,1,0.00722
4040,10,16,1,6,0.00722
4703,13,26,1,1,0.00722
8699,31,9,1,1,0.007195
1053,3,4,4,1,0.007195
4536,13,6,11,6,0.007195
2573,6,15,2,1,0.007195
3143,8,5,8,9,0.007195
5014,14,27,2,1,0.007195
1084,3,5,10,13,0.007195
7811,26,7,1,3,0.007195
8162,27,22,1,2,0.007195
8775,32,2,2,4,0.007195
8836,32,6,2,4,0.007195
7157,23,14,2,4,0.007195
4852,14,8,2,4,0.007195
2225,5,22,2,1,0.007195
4331,11,24,2,2,0.007168
8779,32,2,4,1,0.007168
1052,3,4,3,7,0.007168
1740,4,21,8,9,0.007168
7154,23,14,1,2,0.007168
2614,6,19,1,3,0.007168
8098,27,14,2,1,0.007168
8773,32,2,2,1,0.007168
8770,32,2,1,2,0.007168
4698,13,25,1,3,0.007168
7611,25,6,1,6,0.007168
2058,5,8,8,9,0.007168
3952,10,8,8,9,0.007168
7844,26,13,1,1,0.007168
1180,3,10,8,9,0.007168
2874,7,8,6,8,0.007168
4847,14,8,1,2,0.007168
4853,14,8,4,2,0.007168
2694,6,27,3,1,0.00714
4176,10,29,8,9,0.00714
6294,19,23,4,1,0.00714
1083,3,5,8,9,0.00714
649,2,7,5,7,0.00714
8184,27,24,1,3,0.00714
6021,18,38,1,3,0.00714
6689,22,6,3,1,0.00714
4529,13,6,1,3,0.00714
6147,19,8,4,1,0.00714
4531,13,6,2,2,0.00714
5154,15,13,1,3,0.00714
3881,10,4,8,9,0.00714
7657,25,14,2,1,0.00714
6418,21,4,8,9,0.00714
3875,10,4,4,1,0.00714
571,2,3,8,9,0.00714
2659,6,23,9,10,0.00712
2332,5,32,2,4,0.00712
7711,25,24,2,1,0.00712
3230,8,10,4,1,0.00712
8118,27,16,2,1,0.00712
4848,14,8,1,3,0.00712
4133,10,24,2,1,0.00712
2327,5,32,1,2,0.00712
3946,10,8,4,1,0.00712
8496,29,10,8,9,0.00712
2341,5,32,7,5,0.00712
1643,4,10,4,1,0.00712
6686,22,6,2,1,0.00712
7196,23,19,4,1,0.00712
2337,5,32,4,2,0.00712
3085,8,2,12,12,0.00712
6057,19,2,10,13,0.00712
6626,22,3,1,2,0.00709
5792,18,6,3,1,0.00709
6634,22,3,3,7,0.00709
4041,10,16,2,1,0.00709
2556,6,13,11,6,0.00709
1649,4,10,8,9,0.00709
951,2,35,4,4,0.00709
9625,35,28,4,4,0.00709
4983,14,23,4,2,0.00709
7860,26,15,1,3,0.00709
6629,22,3,2,1,0.00709
5691,17,33,6,5,0.00709
5880,18,18,1,4,0.00709
1179,3,10,7,5,0.00709
7443,24,15,1,3,0.00709
8405,28,35,4,4,0.00709
818,2,22,1,2,0.00707
1948,5,3,4,1,0.00707
1219,3,14,8,9,0.00707
1947,5,3,3,7,0.00707
3082,8,2,11,6,0.00707
4779,14,2,8,9,0.00707
6124,19,6,4,1,0.00707
8825,32,5,4,2,0.00707
1221,3,14,11,6,0.00707
4781,14,2,11,6,0.00707
8829,32,5,7,5,0.00707
8820,32,5,2,4,0.00707
4145,10,25,4,4,0.00707
2336,5,32,4,1,0.00707
7444,24,15,1,6,0.00707
3388,8,23,4,1,0.00707
5144,15,10,1,6,0.00707
821,2,22,2,1,0.00707
6292,19,23,3,1,0.00707
2330,5,32,2,1,0.00707
2585,6,16,2,1,0.00707
1214,3,14,2,4,0.00707
1216,3,14,4,2,0.00707
8063,27,9,1,3,0.00707
8815,32,5,1,2,0.00707
4769,14,2,1,2,0.00707
1209,3,14,1,2,0.00707
672,2,8,11,6,0.007042
6624,22,2,12,12,0.007042
6076,19,3,10,13,0.007042
2696,6,27,4,1,0.007042
7194,23,19,3,1,0.007042
6051,19,2,4,1,0.007042
7044,23,4,3,7,0.007042
2552,6,13,2,2,0.007042
7426,24,13,1,3,0.007042
6043,19,2,1,3,0.007042
4776,14,2,4,2,0.007042
3658,9,13,1,3,0.007042
706,2,10,8,9,0.007042
700,2,10,4,1,0.007042
3076,8,2,4,1,0.007042
2550,6,13,1,3,0.007042
8824,32,5,4,1,0.00702
829,2,22,4,4,0.00702
4977,14,23,1,2,0.00702
4981,14,23,2,4,0.00702
1727,4,19,4,1,0.00702
3754,9,26,1,3,0.00702
8289,28,2,1,1,0.00702
6069,19,3,3,7,0.00702
8292,28,2,8,9,0.00702
2176,5,18,1,3,0.00702
3933,10,7,7,5,0.00702
8818,32,5,2,1,0.00702
6315,19,26,1,3,0.00702
4142,10,25,1,6,0.00702
4257,11,6,6,8,0.00702
2621,6,19,4,1,0.00702
4774,14,2,2,4,0.00702
6905,22,27,2,1,0.00702
1297,3,21,8,9,0.00702
664,2,8,4,1,0.00702
2180,5,18,2,2,0.00702
5769,18,5,1,3,0.006992
731,2,13,11,6,0.006992
808,2,19,10,13,0.006992
7401,24,9,1,3,0.006992
3215,8,9,9,10,0.006992
2893,7,10,7,5,0.006992
730,2,13,10,13,0.006992
4259,11,6,9,10,0.006992
5459,16,23,1,2,0.006992
7706,25,23,4,4,0.006992
4173,10,29,1,3,0.006992
5773,18,5,2,2,0.006992
5694,17,33,11,8,0.006992
1593,4,7,5,7,0.006992
9175,34,2,4,1,0.006992
6112,19,5,10,13,0.00697
2819,7,4,5,7,0.00697
3932,10,7,5,7,0.00697
7375,24,6,1,3,0.00697
8493,29,10,1,3,0.00697
6610,22,2,2,1,0.00697
6607,22,2,1,2,0.00697
6070,19,3,4,1,0.00697
7436,24,14,2,1,0.00697
1956,5,3,11,6,0.00697
1059,3,4,8,9,0.00697
6797,22,16,2,1,0.00697
3854,10,3,4,1,0.00697
720,2,13,1,3,0.00697
7164,23,15,9,10,0.00697
9188,34,3,4,1,0.00697
2492,6,7,3,1,0.006943
7045,23,4,4,1,0.006943
7521,24,25,2,1,0.006943
3853,10,3,3,7,0.006943
9661,35,35,4,1,0.006943
5145,15,10,2,1,0.006943
2892,7,10,5,7,0.006943
4161,10,27,4,1,0.006943
6098,19,5,1,3,0.006943
6852,22,22,2,4,0.006943
5335,16,6,2,1,0.006943
705,2,10,7,5,0.006943
6062,19,3,1,3,0.006943
8064,27,9,2,2,0.006943
1220,3,14,10,13,0.006943
4780,14,2,10,13,0.006943
1607,4,8,4,1,0.006943
2187,5,18,10,13,0.00692
3119,8,4,4,1,0.00692
794,2,19,1,3,0.00692
1955,5,3,10,13,0.00692
3289,8,15,7,5,0.00692
6106,19,5,4,1,0.00692
1289,3,19,10,13,0.00692
1293,3,21,1,3,0.00692
3288,8,15,6,8,0.00692
3291,8,15,9,10,0.00692
3915,10,6,4,1,0.00692
3080,8,2,8,9,0.00692
3290,8,15,8,9,0.00692
1736,4,21,1,3,0.00692
7246,23,25,9,10,0.00692
1282,3,19,3,7,0.006897
4918,14,14,11,8,0.006897
8480,29,8,11,6,0.006897
6414,21,4,1,3,0.006897
8078,27,10,4,1,0.006897
4143,10,25,2,1,0.006897
5780,18,5,10,13,0.006897
1298,3,21,10,13,0.006897
1119,3,7,5,7,0.006897
3860,10,3,8,9,0.006897
3282,8,15,1,6,0.006897
670,2,8,8,9,0.006897
8165,27,22,2,1,0.006897
1972,5,4,4,1,0.006874
1513,4,3,4,1,0.006874
1977,5,4,7,5,0.006874
1954,5,3,8,9,0.006874
4493,13,2,11,6,0.006874
3343,8,19,4,1,0.006874
802,2,19,4,1,0.006874
1720,4,19,1,3,0.006874
4492,13,2,10,13,0.006874
2353,5,34,4,1,0.00685
1201,3,13,4,4,0.00685
1206,3,13,10,13,0.00685
1207,3,13,11,6,0.00685
8624,29,29,12,4,0.00685
9818,37,34,4,1,0.00685
1283,3,19,4,1,0.00685
5634,17,17,2,2,0.00685
718,2,12,11,6,0.00685
7803,26,6,1,3,0.00685
1770,4,23,3,7,0.00685
9438,34,37,4,1,0.00685
4482,13,2,1,3,0.00685
7826,26,9,1,3,0.00685
1512,4,3,3,7,0.00685
4999,14,25,2,1,0.00685
3297,8,16,1,6,0.006824
9213,34,5,4,1,0.006824
4690,13,24,1,3,0.006824
3859,10,3,7,5,0.006824
2097,5,10,7,5,0.006824
1275,3,19,1,3,0.006824
3901,10,5,7,5,0.006824
1562,4,5,7,5,0.006824
1557,4,5,4,1,0.006824
3831,10,2,4,1,0.0068
5349,16,8,1,6,0.0068
9860,38,18,1,3,0.0068
7079,23,6,9,10,0.0068
5134,15,8,8,9,0.0068
5135,15,8,9,10,0.0068
609,2,5,4,1,0.0068
2985,7,26,1,3,0.0068
6527,21,21,12,2,0.0068
3304,8,16,8,9,0.0068
8618,29,29,7,5,0.0068
7155,23,14,2,1,0.0068
4526,13,5,10,13,0.00678
4527,13,5,11,6,0.00678
6422,21,5,1,3,0.00678
628,2,6,3,1,0.00678
634,2,6,8,9,0.00678
2212,5,21,1,3,0.00678
2413,6,2,8,9,0.00678
5702,18,1,1,3,0.00678
636,2,6,11,6,0.00678
5211,15,24,2,1,0.00678
2139,5,14,11,6,0.00678
2408,6,2,3,1,0.00678
2127,5,14,1,2,0.00678
3896,10,5,4,1,0.00678
2092,5,10,4,1,0.00678
1613,4,8,8,9,0.00678
1933,5,2,12,12,0.00678
1195,3,13,1,3,0.00678
2132,5,14,2,4,0.00678
1771,4,23,4,1,0.00678
5129,15,8,1,6,0.00678
2134,5,14,4,2,0.00678
1922,5,2,4,1,0.00678
3294,8,16,1,2,0.00678
5346,16,8,1,2,0.006756
1192,3,12,11,6,0.006756
3837,10,2,8,9,0.006756
2842,7,6,6,8,0.006756
4791,14,3,4,2,0.006756
4796,14,3,11,6,0.006756
3123,8,4,8,9,0.006756
5225,15,26,1,3,0.006756
295,1,18,1,3,0.006756
4516,13,5,1,3,0.006756
7153,23,14,1,1,0.006756
6409,21,3,8,9,0.006756
2410,6,2,4,1,0.006756
4794,14,3,8,9,0.006756
4789,14,3,2,4,0.006756
4784,14,3,1,2,0.006756
814,2,21,8,9,0.006733
2838,7,6,3,1,0.006733
1675,4,14,8,9,0.006733
4816,14,5,2,4,0.006733
5356,16,8,8,9,0.006733
4567,13,9,1,3,0.006733
2656,6,23,4,1,0.006733
2675,6,25,2,1,0.006733
4808,14,4,8,9,0.006733
2415,6,2,11,6,0.006733
4818,14,5,4,2,0.006733
2682,6,26,1,3,0.006733
4811,14,5,1,2,0.006733
8030,27,6,3,1,0.006733
4823,14,5,11,6,0.006733
617,2,5,11,6,0.006733
5485,16,26,1,3,0.00671
8576,29,23,1,1,0.00671
5974,18,28,12,4,0.00671
4506,13,3,11,6,0.00671
1978,5,4,8,9,0.00671
4505,13,3,10,13,0.00671
1930,5,2,11,6,0.00671
5462,16,23,2,1,0.00671
1200,3,13,3,7,0.00671
8748,31,35,9,10,0.00671
7867,26,16,1,3,0.00671
4990,14,24,2,1,0.00671
3419,8,26,6,8,0.00671
2431,6,3,8,9,0.00671
2428,6,3,4,1,0.006687
7245,23,25,4,4,0.006687
810,2,21,1,3,0.006687
2218,5,21,10,13,0.006687
6428,21,5,10,13,0.006687
1699,4,17,8,9,0.006687
496,1,37,1,6,0.006687
5350,16,8,2,1,0.006687
3589,9,5,8,9,0.006687
2426,6,3,3,1,0.006687
9670,37,1,1,6,0.006687
587,2,4,4,1,0.006687
2980,7,24,2,2,0.006687
5713,18,1,10,13,0.006687
2795,7,2,5,7,0.006687
6849,22,22,1,4,0.006668
4285,11,11,2,5,0.006668
3836,10,2,7,5,0.006668
616,2,5,10,13,0.006668
6405,21,3,1,3,0.006668
1660,4,13,4,4,0.006668
1519,4,3,8,9,0.006668
306,1,18,10,13,0.006668
1563,4,5,8,9,0.006668
5887,18,18,4,1,0.006668
977,3,1,4,1,0.006668
985,3,1,11,6,0.006668
6400,21,2,8,9,0.006668
2138,5,14,10,13,0.006668
8358,28,18,12,4,0.006668
4979,14,23,2,1,0.006668
4495,13,3,1,3,0.006645
7495,24,23,1,1,0.006645
6410,21,3,10,13,0.006645
2208,5,19,10,13,0.006645
1396,3,29,11,6,0.006645
4795,14,3,10,13,0.006645
4031,10,15,1,6,0.006645
2037,5,7,5,7,0.006645
1252,3,17,8,9,0.006645
7166,23,16,1,2,0.006645
1929,5,2,10,13,0.006645
2433,6,3,11,6,0.006645
7821,26,8,6,8,0.006645
5706,18,1,2,2,0.006645
8032,27,6,4,1,0.006645
6403,21,2,12,12,0.006622
9056,32,34,11,8,0.006622
2665,6,24,2,1,0.006622
9404,34,32,11,8,0.006622
4805,14,4,4,2,0.006622
1672,4,14,4,2,0.006622
615,2,5,8,9,0.006622
4822,14,5,10,13,0.006622
2193,5,19,1,3,0.006622
630,2,6,4,1,0.006622
299,1,18,2,2,0.006622
6396,21,2,1,3,0.006622
7612,25,6,2,1,0.006622
815,2,21,10,13,0.006622
5878,18,18,1,2,0.006622
4508,13,4,1,3,0.006622
7831,26,10,1,3,0.006622
1106,3,6,11,6,0.0066
4367,12,3,11,6,0.0066
1104,3,6,8,9,0.0066
1928,5,2,8,9,0.0066
1500,4,2,12,12,0.0066
976,3,1,3,7,0.0066
1491,4,2,4,1,0.0066
1671,4,14,2,4,0.0066
4364,12,2,11,6,0.0066
2201,5,19,4,1,0.0066
4804,14,4,2,4,0.0066
2832,7,5,5,7,0.0066
2808,7,3,5,7,0.0066
6024,19,1,1,3,0.00658
1098,3,6,3,1,0.00658
1100,3,6,4,1,0.00658
1821,4,29,1,3,0.00658
2857,7,7,6,5,0.00658
2467,6,5,11,6,0.00658
4500,13,3,3,7,0.00658
477,1,34,4,1,0.00658
5291,16,3,1,2,0.00658
6260,19,19,10,15,0.00658
5294,16,3,1,6,0.00658
9877,38,28,1,1,0.00658
8407,28,38,1,1,0.00658
5303,16,3,10,13,0.00658
9159,34,1,4,1,0.00658
6032,19,1,4,1,0.00658
6038,19,1,10,13,0.00658
2462,6,5,4,1,0.006557
8442,29,4,1,3,0.006557
5295,16,3,2,1,0.006557
1391,3,29,1,3,0.006557
6401,21,2,10,13,0.006557
1666,4,14,1,2,0.006535
2851,7,7,3,3,0.006535
3413,8,25,9,10,0.006535
3411,8,25,4,4,0.006535
984,3,1,10,13,0.006535
4799,14,4,1,2,0.006535
3408,8,25,1,6,0.006535
2460,6,5,3,1,0.006535
6019,18,37,2,2,0.006535
845,2,23,3,7,0.006535
3554,9,3,3,7,0.006535
1657,4,13,1,3,0.006535
7894,26,23,1,1,0.006535
9658,35,35,2,1,0.006535
4032,10,15,2,1,0.006535
1330,3,23,3,1,0.006516
5204,15,23,1,1,0.006516
6037,19,1,8,9,0.006516
1332,3,23,4,1,0.006516
1335,3,23,5,1,0.006516
983,3,1,8,9,0.006516
2125,5,13,11,6,0.006516
2124,5,13,10,13,0.006516
2119,5,13,4,4,0.006516
2113,5,13,1,3,0.006493
9148,33,34,11,8,0.006493
4615,13,13,10,15,0.006493
8623,29,29,12,2,0.006493
5302,16,3,8,9,0.006493
593,2,4,8,9,0.006493
6520,21,21,1,6,0.006493
4910,14,14,2,14,0.006493
775,2,17,8,9,0.006493
9406,34,33,11,8,0.006493
9634,35,31,9,10,0.006493
904,2,29,11,6,0.006493
7377,24,6,2,1,0.006493
4371,12,5,11,6,0.006474
7703,25,23,1,1,0.006474
4765,14,1,11,6,0.006474
3433,8,27,4,1,0.006474
255,1,14,11,6,0.006474
5578,17,5,7,5,0.006474
7445,24,15,2,1,0.006474
7256,23,27,4,1,0.006474
1653,4,12,1,1,0.00645
7076,23,6,4,1,0.00645
9104,33,12,11,8,0.00645
5635,17,17,2,5,0.00645
5315,16,4,8,9,0.00645
62,1,3,4,1,0.00645
7028,23,3,3,1,0.00645
7030,23,3,4,1,0.00645
7350,24,4,1,3,0.00645
7033,23,3,5,1,0.00645
4347,11,33,6,5,0.00645
1234,3,16,1,2,0.00645
1237,3,16,1,6,0.00645
7627,25,8,9,10,0.00645
70,1,3,11,6,0.00645
7351,24,4,1,6,0.00645
1246,3,16,10,13,0.00645
7622,25,8,1,6,0.00645
7625,25,8,4,4,0.00645
2110,5,12,11,6,0.00645
900,2,29,1,3,0.00643
525,2,1,11,6,0.00643
1469,4,1,4,1,0.00643
7061,23,5,3,7,0.00643
517,2,1,4,1,0.00643
6586,22,1,1,2,0.00643
1238,3,16,2,1,0.00643
7352,24,4,2,1,0.00643
4149,10,26,1,3,0.00643
86,1,4,4,1,0.00643
4617,13,13,11,8,0.00641
8179,27,23,4,1,0.00641
1497,4,2,8,9,0.00641
3298,8,16,2,1,0.00641
7337,24,3,1,3,0.00641
7011,23,2,3,7,0.00641
9806,37,32,1,2,0.00641
249,1,14,4,2,0.00641
9098,33,11,6,5,0.00641
243,1,14,1,2,0.00641
6262,19,19,12,12,0.00641
7339,24,3,2,1,0.00641
7062,23,5,4,1,0.00641
8437,29,3,11,6,0.00641
9067,32,37,1,2,0.00641
6020,18,38,1,1,0.00641
4753,14,1,1,2,0.00641
4759,14,1,4,2,0.00641
1245,3,16,8,9,0.00641
2449,6,4,8,9,0.00641
2446,6,4,4,1,0.00641
2444,6,4,3,1,0.00641
846,2,23,4,1,0.00639
6589,22,1,2,1,0.00639
457,1,32,4,1,0.00639
1896,5,1,4,1,0.00639
248,1,14,2,4,0.00639
7168,23,16,2,1,0.00639
3547,9,2,12,12,0.00639
4758,14,1,2,4,0.00639
1152,3,9,3,7,0.00639
61,1,3,3,7,0.00639
1904,5,1,11,6,0.00639
8761,32,1,4,1,0.00639
4610,13,13,6,5,0.00637
9070,32,37,3,1,0.00637
254,1,14,10,13,0.00637
1901,5,1,7,5,0.00637
857,2,24,2,1,0.00637
5698,17,37,2,2,0.00637
4919,14,14,12,2,0.00637
4764,14,1,10,13,0.00637
8055,27,8,4,1,0.00637
6856,22,22,4,1,0.00637
2852,7,7,3,7,0.00637
8735,31,31,3,1,0.00637
5329,16,5,10,13,0.00637
5320,16,5,1,6,0.00637
9809,37,32,3,1,0.00637
5317,16,5,1,2,0.00637
4761,14,1,6,8,0.006348
5289,16,2,10,13,0.006348
108,1,5,4,1,0.006348
251,1,14,6,8,0.006348
1343,3,24,2,1,0.006348
2390,6,1,3,1,0.006348
5309,16,4,2,1,0.006348
2392,6,1,4,1,0.006348
2397,6,1,11,6,0.006348
339,1,22,1,2,0.006348
38,1,2,4,1,0.006348
116,1,5,11,6,0.006348
2169,5,17,7,5,0.006348
5277,16,2,1,2,0.006348
873,2,26,1,3,0.006348
5280,16,2,1,6,0.006348
5281,16,2,2,1,0.006348
46,1,2,11,6,0.006348
3060,8,1,11,6,0.00633
175,1,8,11,6,0.00633
2251,5,23,3,7,0.00633
2024,5,6,11,6,0.00633
7012,23,2,4,1,0.00633
2860,7,7,11,8,0.00633
69,1,3,10,13,0.00633
6261,19,19,12,4,0.00633
167,1,8,4,1,0.00633
4457,12,32,11,8,0.00633
3054,8,1,4,1,0.00633
9118,33,17,6,5,0.00633
8432,29,3,1,3,0.00633
113,1,5,7,5,0.00633
458,1,32,4,2,0.00631
7789,26,4,1,3,0.00631
68,1,3,8,9,0.00631
2312,5,29,1,3,0.00631
2316,5,29,11,6,0.00631
524,2,1,10,13,0.00631
342,1,22,2,1,0.00631
7361,24,5,1,3,0.00631
2252,5,23,4,1,0.00631
448,1,32,1,2,0.00631
8762,32,1,4,2,0.00631
8752,32,1,1,2,0.00631
1475,4,1,8,9,0.00629
523,2,1,8,9,0.00629
1811,4,27,4,1,0.00629
8218,27,27,10,15,0.00629
8615,29,29,2,2,0.00629
8002,27,4,4,1,0.00629
8427,29,2,11,6,0.00629
2075,5,9,8,9,0.00629
5321,16,5,2,1,0.00629
92,1,4,8,9,0.00629
7165,23,16,1,1,0.00629
8450,29,5,1,3,0.00629
8454,29,5,11,6,0.00629
7599,25,4,4,4,0.00627
451,1,32,2,1,0.00627
5288,16,2,8,9,0.00627
453,1,32,2,4,0.00627
7334,24,2,12,12,0.00627
1903,5,1,10,13,0.00627
5305,16,4,1,2,0.00627
7369,24,5,8,9,0.00627
1781,4,24,2,1,0.00627
8755,32,1,2,1,0.00627
8430,29,2,12,12,0.00627
8757,32,1,2,4,0.00627
871,2,25,10,13,0.00625
7324,24,2,1,3,0.00625
1382,3,27,10,13,0.00625
129,1,6,3,1,0.00625
9121,33,17,11,8,0.00625
2019,5,6,4,1,0.00625
138,1,6,11,6,0.00625
7773,26,2,1,3,0.00625
4350,11,33,11,8,0.00625
9774,37,18,2,2,0.00625
7326,24,2,2,1,0.00625
131,1,6,4,1,0.00625
115,1,5,10,13,0.00623
8422,29,2,1,3,0.00623
45,1,2,10,13,0.00623
893,2,27,10,13,0.00623
868,2,25,2,1,0.00623
755,2,15,8,9,0.00623
770,2,16,10,13,0.00623
2017,5,6,3,1,0.00623
867,2,25,1,6,0.00623
758,2,16,1,2,0.00623
761,2,16,1,6,0.00623
762,2,16,2,1,0.00623
7363,24,5,2,1,0.00623
9399,34,32,3,3,0.00621
1378,3,27,4,1,0.00621
5689,17,32,11,8,0.00621
6584,21,38,1,3,0.00621
44,1,2,8,9,0.00621
3808,10,1,4,1,0.00621
6983,22,37,2,2,0.00621
205,1,10,4,1,0.00621
749,2,15,1,6,0.00621
9051,32,34,3,3,0.00621
750,2,15,2,1,0.00621
1780,4,24,1,6,0.00621
9101,33,11,11,8,0.00621
173,1,8,8,9,0.00619
3058,8,1,8,9,0.00619
769,2,16,8,9,0.00619
312,1,19,1,3,0.006172
9807,37,32,2,1,0.006172
320,1,19,4,1,0.006172
9432,34,35,4,4,0.006172
5086,15,2,8,9,0.006172
7915,26,26,11,8,0.006172
326,1,19,10,13,0.006172
9068,32,37,2,1,0.006172
9653,35,34,4,4,0.006172
756,2,15,10,13,0.006153
5103,15,4,8,9,0.006153
4478,13,1,10,13,0.006153
4479,13,1,11,6,0.006153
5081,15,2,1,6,0.006153
5082,15,2,2,1,0.006153
4468,13,1,1,3,0.006153
4356,11,37,2,5,0.006134
9859,38,18,1,1,0.006134
325,1,19,8,9,0.006115
9756,37,11,2,5,0.006096
8404,28,35,1,3,0.006096
7592,25,3,4,4,0.006096
9074,33,1,7,5,0.006096
7594,25,3,10,13,0.006096
9782,37,22,2,2,0.006096
5087,15,2,10,13,0.006096
9624,35,28,1,3,0.006096
889,2,27,4,1,0.006096
466,1,33,7,5,0.006096
4470,13,1,2,2,0.00608
1696,4,16,8,9,0.00608
2780,7,1,5,7,0.00608
1576,4,6,3,1,0.00608
1582,4,6,8,9,0.00608
4477,13,1,8,9,0.00608
2269,5,24,8,9,0.00608
7589,25,3,1,6,0.00608
5106,15,5,1,6,0.00608
5095,15,3,8,9,0.00608
1578,4,6,4,1,0.00608
151,1,7,5,7,0.00608
682,2,9,4,4,0.00608
2854,7,7,4,4,0.00606
233,1,13,4,4,0.00606
5699,17,37,2,5,0.00606
6387,21,1,1,3,0.00606
6394,21,1,12,12,0.00606
2263,5,24,2,1,0.00606
1795,4,26,1,3,0.00606
5090,15,3,1,6,0.00606
9071,32,37,4,1,0.00606
5686,17,32,6,5,0.00606
240,1,13,11,6,0.00606
7590,25,3,2,1,0.00606
9810,37,32,4,1,0.00606
228,1,13,1,3,0.00606
2164,5,16,10,13,0.00606
2155,5,16,1,6,0.00606
2152,5,16,1,2,0.00606
239,1,13,10,13,0.00606
330,1,21,1,3,0.00606
7598,25,4,2,1,0.00606
2303,5,27,10,13,0.006042
4475,13,1,6,8,0.006042
7799,26,5,7,5,0.006042
5091,15,3,2,1,0.006042
7586,25,2,10,13,0.006042
4360,12,1,11,6,0.006042
768,2,16,4,4,0.006042
7582,25,2,2,1,0.006023
4283,11,11,1,6,0.006023
1359,3,25,10,13,0.006023
1357,3,25,4,4,0.006023
7796,26,5,1,3,0.006023
7581,25,2,1,6,0.006023
1792,4,25,4,4,0.006004
1231,3,15,8,9,0.006004
8020,27,5,10,13,0.006004
1354,3,25,1,6,0.006004
5107,15,5,2,1,0.006004
5112,15,5,10,13,0.006004
5096,15,3,10,13,0.006004
7991,27,3,10,13,0.00599
4466,12,37,1,6,0.00599
5690,17,33,2,5,0.00599
7584,25,2,4,4,0.00599
1225,3,15,1,6,0.00599
7912,26,26,6,5,0.00599
6952,22,33,6,5,0.00599
238,1,13,8,9,0.00599
2156,5,16,2,1,0.00599
1355,3,25,2,1,0.00599
7726,25,25,10,15,0.00599
230,1,13,2,2,0.00599
7228,23,23,2,14,0.00599
7781,26,3,1,3,0.00599
440,1,29,12,12,0.00597
1226,3,15,2,1,0.00597
6392,21,1,10,13,0.00597
429,1,29,1,3,0.00597
8420,29,1,12,12,0.00597
436,1,29,11,6,0.00597
2302,5,27,8,9,0.00597
335,1,21,10,13,0.00597
8409,29,1,1,3,0.00597
8416,29,1,11,6,0.00597
1361,3,26,1,3,0.00595
7987,27,3,4,1,0.00595
2849,7,7,2,5,0.00595
4464,12,34,11,8,0.00595
4456,12,32,7,5,0.00595
6947,22,32,5,7,0.00595
2299,5,27,4,1,0.00595
236,1,13,6,8,0.00595
1690,4,16,2,1,0.00595
5100,15,4,2,1,0.00595
1232,3,15,10,13,0.005936
8019,27,5,8,9,0.005936
225,1,12,11,6,0.005917
5413,16,16,10,15,0.005917
8016,27,5,4,1,0.005917
7975,27,2,10,13,0.005917
7238,23,23,12,2,0.005917
1684,4,15,8,9,0.0059
7971,27,2,4,1,0.0059
9730,37,7,2,5,0.005882
3037,7,37,2,5,0.005882
2286,5,26,7,5,0.005882
1686,4,16,1,2,0.005882
6955,22,33,11,8,0.005882
5267,16,1,1,6,0.005882
7608,25,5,10,13,0.005882
4463,12,34,11,6,0.005882
5275,16,1,10,13,0.005882
7606,25,5,4,4,0.005882
7603,25,5,1,6,0.005882
2282,5,26,1,3,0.005867
4462,12,34,8,9,0.005848
9428,34,35,2,2,0.005848
9649,35,34,2,2,0.005848
8413,29,1,6,8,0.005848
6916,22,28,12,4,0.005848
8219,27,27,11,6,0.005848
2847,7,7,1,6,0.005848
433,1,29,6,8,0.005848
5264,16,1,1,2,0.005833
5268,16,1,2,1,0.005814
1791,4,25,2,1,0.005814
2143,5,15,1,6,0.005814
7604,25,5,2,1,0.005814
6945,22,32,4,4,0.005814
6951,22,32,11,8,0.005814
9864,38,21,1,3,0.005814
9124,33,22,6,5,0.005814
7312,24,1,1,3,0.005814
7573,25,1,1,6,0.0058
7578,25,1,10,13,0.0058
7576,25,1,4,4,0.0058
8977,32,22,5,7,0.00578
