,5rm2_A_fpocket,5rm2_B_fpocket,5rm2_A_p2rank,5rm2_B_p2rank,IoU
184,2,1,13,2,0.00606
310,3,1,13,2,0.006023
308,3,1,1,2,0.006023
57,1,3,11,1,0.00599
370,4,1,11,1,0.00599
169,2,1,1,2,0.00595
39,1,2,12,10,0.00575
32,1,2,3,10,0.00575
40,1,2,13,1,0.00565
33,1,2,4,1,0.00565
37,1,2,11,1,0.005405
